id,season,home_team_x,home_points,away_team_x,away_points
400764873.0,2015.0,Cincinnati,34.0,Miami,23.0
400764874.0,2015.0,BYU,30.0,Connecticut,13.0
400764874.0,2015.0,BYU,30.0,Connecticut,13.0
400763428.0,2015.0,Oklahoma,44.0,West Virginia,24.0
400763428.0,2015.0,Oklahoma,44.0,West Virginia,24.0
400763531.0,2015.0,Michigan State,24.0,Purdue,21.0
400763531.0,2015.0,Michigan State,24.0,Purdue,21.0
400763532.0,2015.0,Northwestern,27.0,Minnesota,0.0
400763532.0,2015.0,Northwestern,27.0,Minnesota,0.0
400764878.0,2015.0,Tulane,45.0,UCF,31.0
400764878.0,2015.0,Tulane,45.0,UCF,31.0
400603883.0,2015.0,Missouri,24.0,South Carolina,10.0
400603883.0,2015.0,Missouri,24.0,South Carolina,10.0
400760494.0,2015.0,Penn State,20.0,Army,14.0
400760494.0,2015.0,Penn State,20.0,Army,14.0
400763430.0,2015.0,TCU,50.0,Texas,7.0
400763430.0,2015.0,TCU,50.0,Texas,7.0
400763427.0,2015.0,Iowa State,38.0,Kansas,13.0
400763427.0,2015.0,Iowa State,38.0,Kansas,13.0
400787315.0,2015.0,Central Michigan,29.0,Northern Illinois,19.0
400787315.0,2015.0,Central Michigan,29.0,Northern Illinois,19.0
400756939.0,2015.0,Duke,9.0,Boston College,7.0
400756939.0,2015.0,Duke,9.0,Boston College,7.0
400764876.0,2015.0,Navy,33.0,Air Force,11.0
400764876.0,2015.0,Navy,33.0,Air Force,11.0
400787253.0,2015.0,Appalachian State,31.0,Wyoming,13.0
400787253.0,2015.0,Appalachian State,31.0,Wyoming,13.0
400787319.0,2015.0,Kent State,20.0,Miami (OH),14.0
400787319.0,2015.0,Kent State,20.0,Miami (OH),14.0
400763616.0,2015.0,Marshall,27.0,Old Dominion,7.0
400763616.0,2015.0,Marshall,27.0,Old Dominion,7.0
400763431.0,2015.0,Baylor,63.0,Texas Tech,35.0
400763431.0,2015.0,Baylor,63.0,Texas Tech,35.0
400603877.0,2015.0,Auburn,35.0,San José State,21.0
400603877.0,2015.0,Auburn,35.0,San José State,21.0
400763429.0,2015.0,Oklahoma State,36.0,Kansas State,34.0
400763429.0,2015.0,Oklahoma State,36.0,Kansas State,34.0
400757044.0,2015.0,California,34.0,Washington State,28.0
400757044.0,2015.0,California,34.0,Washington State,28.0
400763528.0,2015.0,Illinois,14.0,Nebraska,13.0
400763528.0,2015.0,Illinois,14.0,Nebraska,13.0
400603881.0,2015.0,LSU,44.0,Eastern Michigan,22.0
400603881.0,2015.0,LSU,44.0,Eastern Michigan,22.0
400787249.0,2015.0,Utah State,33.0,Colorado State,18.0
400787249.0,2015.0,Utah State,33.0,Colorado State,18.0
400787444.0,2015.0,Arkansas State,49.0,Idaho,35.0
400787444.0,2015.0,Arkansas State,49.0,Idaho,35.0
400603878.0,2015.0,Florida,38.0,Ole Miss,10.0
400603878.0,2015.0,Florida,38.0,Ole Miss,10.0
400763618.0,2015.0,Southern Mississippi,49.0,North Texas,14.0
400763618.0,2015.0,Southern Mississippi,49.0,North Texas,14.0
400603885.0,2015.0,Texas A&M,30.0,Mississippi State,17.0
400603885.0,2015.0,Texas A&M,30.0,Mississippi State,17.0
400787252.0,2015.0,New Mexico,38.0,New Mexico State,29.0
400787252.0,2015.0,New Mexico,38.0,New Mexico State,29.0
400787248.0,2015.0,Boise State,55.0,Hawai'i,0.0
400787248.0,2015.0,Boise State,55.0,Hawai'i,0.0
400757041.0,2015.0,Stanford,55.0,Arizona,17.0
400757041.0,2015.0,Stanford,55.0,Arizona,17.0
400787250.0,2015.0,San Diego State,21.0,Fresno State,7.0
400787250.0,2015.0,San Diego State,21.0,Fresno State,7.0
400764880.0,2015.0,Houston,49.0,SMU,28.0
400764880.0,2015.0,Houston,49.0,SMU,28.0
400763623.0,2015.0,Marshall,31.0,Southern Mississippi,10.0
400763623.0,2015.0,Marshall,31.0,Southern Mississippi,10.0
400756946.0,2015.0,Virginia Tech,28.0,NC State,13.0
400756946.0,2015.0,Virginia Tech,28.0,NC State,13.0
400603902.0,2015.0,Ole Miss,52.0,New Mexico State,3.0
400603902.0,2015.0,Ole Miss,52.0,New Mexico State,3.0
400763537.0,2015.0,Ohio State,49.0,Maryland,28.0
400763537.0,2015.0,Ohio State,49.0,Maryland,28.0
400763622.0,2015.0,Florida International,52.0,UTEP,12.0
400763622.0,2015.0,Florida International,52.0,UTEP,12.0
400764882.0,2015.0,Temple,49.0,Tulane,10.0
400764882.0,2015.0,Temple,49.0,Tulane,10.0
400763538.0,2015.0,Penn State,29.0,Indiana,7.0
400763538.0,2015.0,Penn State,29.0,Indiana,7.0
400763626.0,2015.0,Western Kentucky,58.0,Middle Tennessee,28.0
400763626.0,2015.0,Western Kentucky,58.0,Middle Tennessee,28.0
400787323.0,2015.0,Western Michigan,41.0,Central Michigan,39.0
400787323.0,2015.0,Western Michigan,41.0,Central Michigan,39.0
400763534.0,2015.0,Iowa,29.0,Illinois,20.0
400763534.0,2015.0,Iowa,29.0,Illinois,20.0
400763434.0,2015.0,Texas,24.0,Oklahoma,17.0
400763434.0,2015.0,Texas,24.0,Oklahoma,17.0
400756951.0,2015.0,Pittsburgh,26.0,Virginia,19.0
400756951.0,2015.0,Pittsburgh,26.0,Virginia,19.0
400787325.0,2015.0,Ohio,34.0,Miami (OH),3.0
400787325.0,2015.0,Ohio,34.0,Miami (OH),3.0
400787321.0,2015.0,Bowling Green,62.0,UMass,38.0
400787321.0,2015.0,Bowling Green,62.0,UMass,38.0
400787320.0,2015.0,Toledo,38.0,Kent State,7.0
400787320.0,2015.0,Toledo,38.0,Kent State,7.0
400756952.0,2015.0,South Florida,45.0,Syracuse,24.0
400756952.0,2015.0,South Florida,45.0,Syracuse,24.0
400763535.0,2015.0,Michigan,38.0,Northwestern,0.0
400763535.0,2015.0,Michigan,38.0,Northwestern,0.0
400763435.0,2015.0,Texas Tech,66.0,Iowa State,31.0
400763435.0,2015.0,Texas Tech,66.0,Iowa State,31.0
400603904.0,2015.0,Tennessee,38.0,Georgia,31.0
400603904.0,2015.0,Tennessee,38.0,Georgia,31.0
400763584.0,2015.0,Notre Dame,41.0,Navy,24.0
400763584.0,2015.0,Notre Dame,41.0,Navy,24.0
400603903.0,2015.0,LSU,45.0,South Carolina,24.0
400603903.0,2015.0,LSU,45.0,South Carolina,24.0
400787324.0,2015.0,Northern Illinois,59.0,Ball State,41.0
400787324.0,2015.0,Northern Illinois,59.0,Ball State,41.0
400756948.0,2015.0,Clemson,43.0,Georgia Tech,24.0
400756948.0,2015.0,Clemson,43.0,Georgia Tech,24.0
400757046.0,2015.0,Arizona,44.0,Oregon State,7.0
400757046.0,2015.0,Arizona,44.0,Oregon State,7.0
400603900.0,2015.0,Mississippi State,45.0,Troy,17.0
400603900.0,2015.0,Mississippi State,45.0,Troy,17.0
400764883.0,2015.0,Tulsa,34.0,Louisiana Monroe,24.0
400764883.0,2015.0,Tulsa,34.0,Louisiana Monroe,24.0
400787258.0,2015.0,Nevada,35.0,New Mexico,17.0
400787258.0,2015.0,Nevada,35.0,New Mexico,17.0
400603899.0,2015.0,Alabama,27.0,Arkansas,14.0
400603899.0,2015.0,Alabama,27.0,Arkansas,14.0
400764881.0,2015.0,BYU,45.0,East Carolina,38.0
400764881.0,2015.0,BYU,45.0,East Carolina,38.0
400756950.0,2015.0,Florida State,29.0,Miami,24.0
400756950.0,2015.0,Florida State,29.0,Miami,24.0
400757047.0,2015.0,Arizona State,48.0,Colorado,23.0
400757047.0,2015.0,Arizona State,48.0,Colorado,23.0
400757048.0,2015.0,Utah,30.0,California,24.0
400757048.0,2015.0,Utah,30.0,California,24.0
400787254.0,2015.0,Air Force,31.0,Wyoming,17.0
400787254.0,2015.0,Air Force,31.0,Wyoming,17.0
400757050.0,2015.0,Stanford,56.0,UCLA,35.0
400757050.0,2015.0,Stanford,56.0,UCLA,35.0
400764886.0,2015.0,BYU,38.0,Cincinnati,24.0
