id,season,week,start_date,venue,home_team,home_points,away_team,away_conference,away_points
401207163,2020,9,2020-10-31T19:30:00.000Z,Joe Aillet Stadium,Louisiana Tech,37.0,UAB,Conference USA,34.0
401237121,2020,9,2020-10-31T19:30:00.000Z,Jordan-Hare Stadium,Auburn,48.0,LSU,SEC,11.0
401234626,2020,9,2020-10-31T19:30:00.000Z,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,13.0,Notre Dame,FBS Independents,31.0
401236017,2020,9,2020-10-31T20:00:00.000Z,Boone Pickens Stadium,Oklahoma State,34.0,Texas,Big 12,41.0
401237123,2020,9,2020-10-31T20:00:00.000Z,Vanderbilt Stadium,Vanderbilt,21.0,Ole Miss,SEC,54.0
401234627,2020,9,2020-10-31T20:00:00.000Z,Papa John's Cardinal Stadium,Louisville,35.0,Virginia Tech,ACC,42.0
401215319,2020,9,2020-10-31T20:00:00.000Z,Malone Stadium,Louisiana Monroe,13.0,Appalachian State,Sun Belt,31.0
401239873,2020,9,2020-10-31T20:00:00.000Z,Estes Stadium,Central Arkansas,52.0,Missouri Western,Mid America,10.0
401248999,2020,9,2020-10-31T22:00:00.000Z,Falcon Stadium,Air Force,30.0,Boise State,Mountain West,49.0
401249003,2020,9,2020-10-31T23:00:00.000Z,University Stadium,New Mexico,21.0,San José State,Mountain West,38.0
401237119,2020,9,2020-10-31T23:00:00.000Z,Bryant Denny Stadium,Alabama,41.0,Mississippi State,SEC,0.0
401234625,2020,9,2020-10-31T23:00:00.000Z,Wallace Wade Stadium,Duke,53.0,Charlotte,Conference USA,19.0
401237120,2020,9,2020-10-31T23:30:00.000Z,Kyle Field,Texas A&M,42.0,Arkansas,SEC,31.0
401212489,2020,9,2020-10-31T23:30:00.000Z,Gerald J. Ford Stadium,SMU,51.0,Navy,American Athletic,37.0
401237116,2020,9,2020-10-31T23:30:00.000Z,Ben Hill Griffin Stadium,Florida,41.0,Missouri,SEC,17.0
401247306,2020,9,2020-10-31T23:30:00.000Z,Beaver Stadium,Penn State,25.0,Ohio State,Big Ten,38.0
401215322,2020,9,2020-11-01T00:00:00.000Z,Jim Wacker Field at Bobcat Stadium,Texas State,34.0,Louisiana,Sun Belt,44.0
401236016,2020,9,2020-11-01T00:00:00.000Z,Jones AT&T Stadium,Texas Tech,28.0,Oklahoma,Big 12,62.0
401234628,2020,9,2020-11-01T00:00:00.000Z,Scott Stadium,Virginia,44.0,North Carolina,ACC,41.0
401249004,2020,9,2020-11-01T01:30:00.000Z,Romney Stadium,Utah State,7.0,San Diego State,Mountain West,38.0
401239887,2020,9,2020-11-01T02:15:00.000Z,LaVell Edwards Stadium,BYU,41.0,Western Kentucky,Conference USA,10.0
